Artist ID,Track Name,Popularity
6LuN9FCkKOj5PcnpouEgny,Location,77
6LuN9FCkKOj5PcnpouEgny,Numb,77
6LuN9FCkKOj5PcnpouEgny,Beautiful People (feat. Khalid),72
6LuN9FCkKOj5PcnpouEgny,8TEEN,76
1uNFoZAHBGtllmzznpCI3s,STAY (with Justin Bieber),83
1uNFoZAHBGtllmzznpCI3s,Ghost,86
1uNFoZAHBGtllmzznpCI3s,Love Yourself,84
1uNFoZAHBGtllmzznpCI3s,Beauty And A Beat,81
1uNFoZAHBGtllmzznpCI3s,Sorry,83
1uNFoZAHBGtllmzznpCI3s,Baby,82
1uNFoZAHBGtllmzznpCI3s,bad guy,54
1uNFoZAHBGtllmzznpCI3s,Eenie Meenie - Radio Version,60
1uNFoZAHBGtllmzznpCI3s,What Do You Mean?,80
1uNFoZAHBGtllmzznpCI3s,Peaches (feat. Daniel Caesar & Giveon),80
2OTfr6S2kuHRYStjt1IkY6,RAW,52
2OTfr6S2kuHRYStjt1IkY6,Love Song to the Earth,49
2OTfr6S2kuHRYStjt1IkY6,Tripped,43
2OTfr6S2kuHRYStjt1IkY6,BIG GIRLS DON'T CRY - Piano Diaries,39
2OTfr6S2kuHRYStjt1IkY6,Treat Myself,41
2OTfr6S2kuHRYStjt1IkY6,Gold,40
2OTfr6S2kuHRYStjt1IkY6,Only A Stranger,36
2OTfr6S2kuHRYStjt1IkY6,BIG GIRLS DON'T CRY - bachata mix,30
2OTfr6S2kuHRYStjt1IkY6,Last Man Standing,34
2OTfr6S2kuHRYStjt1IkY6,Too F*ckin' Nice,33
4nDoRrQiYLoBzwC5BhVJzF,I LUV IT (feat. Playboi Carti),84
4nDoRrQiYLoBzwC5BhVJzF,Señorita,80
4nDoRrQiYLoBzwC5BhVJzF,Shameless,82
4nDoRrQiYLoBzwC5BhVJzF,Havana (feat. Young Thug),82
4nDoRrQiYLoBzwC5BhVJzF,Bam Bam (feat. Ed Sheeran),72
4nDoRrQiYLoBzwC5BhVJzF,Never Be the Same,77
4nDoRrQiYLoBzwC5BhVJzF,My Oh My (feat. DaBaby),75
4nDoRrQiYLoBzwC5BhVJzF,I Know What You Did Last Summer,73
4nDoRrQiYLoBzwC5BhVJzF,HE KNOWS (feat. Lil Nas X),73
4nDoRrQiYLoBzwC5BhVJzF,South of the Border (feat. Camila Cabello & Cardi B),73
3zOKGDS77tYdGFQ6UJMC4E,Skinny Skinny,37
3zOKGDS77tYdGFQ6UJMC4E,Drive,38
3zOKGDS77tYdGFQ6UJMC4E,Have U Found What Ur Looking For?,35
3zOKGDS77tYdGFQ6UJMC4E,SCAR,34
3zOKGDS77tYdGFQ6UJMC4E,Greyhound,33
3zOKGDS77tYdGFQ6UJMC4E,Matter of Time (Interlude),32
3zOKGDS77tYdGFQ6UJMC4E,Perfect Lie,31
3zOKGDS77tYdGFQ6UJMC4E,I'm to Blame,31
3zOKGDS77tYdGFQ6UJMC4E,Sunshine,30
3zOKGDS77tYdGFQ6UJMC4E,The Sweetness,30
4m4SfDVbF5wxrwEjDKgi4k,Want U Back,62
4m4SfDVbF5wxrwEjDKgi4k,None Of My Business,58
4m4SfDVbF5wxrwEjDKgi4k,I Wish (feat. T.I.),50
4m4SfDVbF5wxrwEjDKgi4k,Oath (feat. Becky G),48
4m4SfDVbF5wxrwEjDKgi4k,Swagger Jagger,36
